GREasting,GRNorthing,NumberofVehicles,Time,1st_Road,Road_Surface,LightingConditions,WeatherConditions,TypeofVehicle,CasualtyClass,Sex,Age,Severity
431971,437046,2,820,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Female,3,Slight
434423,425867,2,901,M62,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Male,45,Slight
434423,425867,2,901,M62,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Male,67,Slight
427569,436873,2,840,A660,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Male,28,Slight
430675,436800,1,1200,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Pedestrian,Female,40,Serious
430675,436800,1,1200,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Male,24,Slight
440575,432100,2,1230,A63,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Male,80,Slight
440575,432100,2,1230,A63,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Female,78,Serious
440575,432100,2,1230,A63,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Female,60,Slight
431507,432550,2,1315,A61,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Male,42,Slight
440935,445753,1,1445,A1(M),Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Male,59,Slight
